owner_or_slug,project_slug,commit_version,not_one_shot_records_counting_duplicates,source_dirs,trajectory_classifications
FuzzTypes,FuzzTypes,,1,projects-repo2run,failed_in_project_run:1
GiT,GiT,,1,projects-repo2run,failed_in_project_run:1
GraphRAG-SDK,GraphRAG-SDK,,1,projects-repo2run,failed_in_project_run:1
Grimoire,Grimoire,,1,projects-repo2run,failed_in_project_run:1
HiGPT,HiGPT,,1,projects-repo2run,failed_in_project_run:1
InternEvo,InternEvo,,1,projects-repo2run,succeeded_after_internal_repair:1
LKAN,LKAN,,1,projects-repo2run,failed_in_project_run:1
LaVague,LaVague,,1,projects-repo2run,missing_manifest_incomplete:1
LazyLLM,LazyLLM,,1,projects-repo2run,failed_in_project_run:1
LongRoPE,LongRoPE,,1,projects-repo2run,succeeded_after_internal_repair:1
Mamba-YOLO,Mamba-YOLO,,1,projects-repo2run,succeeded_after_internal_repair:1
MolPipeline,MolPipeline,,1,projects-repo2run,succeeded_after_internal_repair:1
MultiModalMamba,MultiModalMamba,,1,projects-repo2run,failed_in_project_run:1
Open-ReplaceAnything,Open-ReplaceAnything,,1,projects-repo2run,succeeded_after_internal_repair:1
Open-Sora,Open-Sora,,1,projects-repo2run,failed_in_project_run:1
OpenHands,OpenHands,,1,projects-repo2run,succeeded_after_internal_repair:1
OpenInterpreter/open-interpreter,openinterpreter-open-interpreter,dbc5259,1,installamatic-runs,succeeded_after_internal_repair:1
OpenVPN/openvpn,openvpn-openvpn,75cc34eccca990a2efbaa02639311def6b2cd70f,1,executionagent-runs-gpt54,succeeded_after_internal_repair:1
PanzaMail,PanzaMail,,1,projects-repo2run,succeeded_after_internal_repair:1
PyAirbyte,PyAirbyte,,1,projects-repo2run,succeeded_after_internal_repair:1
RSMamba,RSMamba,,1,projects-repo2run,succeeded_after_internal_repair:1
ReAct,ReAct,,1,projects-repo2run,missing_manifest_incomplete:1
SQLModel-boilerplate,SQLModel-boilerplate,,1,projects-repo2run,succeeded_after_internal_repair:1
Scrapling,Scrapling,,1,projects-repo2run,succeeded_after_internal_repair:1
Speech-AI-Forge,Speech-AI-Forge,,1,projects-repo2run,missing_manifest_incomplete:1
SwiftInfer,SwiftInfer,,1,projects-repo2run,succeeded_after_internal_repair:1
TensorHue,TensorHue,,1,projects-repo2run,failed_in_project_run:1
Textualize/rich,textualize-rich,d0de442,1,installamatic-runs,succeeded_after_internal_repair:1
Textualize/textual,textualize-textual,4c0efd5,1,installamatic-runs,succeeded_after_internal_repair:1
ToolSandbox,ToolSandbox,,1,projects-repo2run,succeeded_after_internal_repair:1
TransOPT,TransOPT,,1,projects-repo2run,failed_in_project_run:1
TravelGPT,TravelGPT,,1,projects-repo2run,succeeded_after_internal_repair:1
TrustRAG,TrustRAG,,1,projects-repo2run,failed_in_project_run:1
UrbanGPT,UrbanGPT,,1,projects-repo2run,failed_in_project_run:1
Verbiverse,Verbiverse,,1,projects-repo2run,succeeded_after_internal_repair:1
VideoFusion,VideoFusion,,1,projects-repo2run,succeeded_after_internal_repair:1
WordLlama,WordLlama,,1,projects-repo2run,succeeded_after_internal_repair:1
Yolo_for_Wukong,Yolo_for_Wukong,,1,projects-repo2run,succeeded_after_internal_repair:1
Yuan2.0-M32,Yuan2.0-M32,,1,projects-repo2run,failed_in_project_run:1
access,access,,1,projects-repo2run,failed_in_project_run:1
agent-studio,agent-studio,,1,projects-repo2run,succeeded_after_internal_repair:1
agent-zero,agent-zero,,1,projects-repo2run,failed_in_project_run:1
agentUniverse,agentUniverse,,1,projects-repo2run,succeeded_after_internal_repair:1
aisuite,aisuite,,1,projects-repo2run,succeeded_after_internal_repair:1
apache/commons-csv,apache-commons-csv,2d44689ec75eb7291438973a188d26037990c29e,1,executionagent-runs-gpt4o,succeeded_after_internal_repair:1
apache/dubbo,apache-dubbo,efed26caac8f728a0c16ad8b7f8aefb16adbdfec,1,executionagent-runs-gpt4o,succeeded_after_internal_repair:1
audioseal,audioseal,,1,projects-repo2run,failed_in_project_run:1
beaverhabits,beaverhabits,,1,projects-repo2run,failed_in_project_run:1
benjaminp/six,benjaminp-six,c1b416f24de52ebd8eaed3e379ab85ec9c3e935b,1,setupbench-runs-all-gpt-4.1,succeeded_after_internal_repair:1
bigcodebench,bigcodebench,,1,projects-repo2run,succeeded_after_internal_repair:1
bigym,bigym,,1,projects-repo2run,succeeded_after_internal_repair:1
boto/boto3,boto-boto3,4e31351,1,installamatic-runs,failed_in_project_run:1
browser-use,browser-use,,1,projects-repo2run,succeeded_after_internal_repair:1
burr,burr,,1,projects-repo2run,succeeded_after_internal_repair:1
byaldi,byaldi,,1,projects-repo2run,succeeded_after_internal_repair:1
caddyserver/caddy,caddyserver-caddy,782a3c7ac60c82311fe9fb8889dd843dfe26c0bc,1,setupbench-runs-all-gpt-4.1,succeeded_after_internal_repair:1
camp_zipnerf,camp_zipnerf,,1,projects-repo2run,succeeded_after_internal_repair:1
ccache/ccache,ccache-ccache,7f3e822efb1bee779f8a520c5efb48ce33d1bfef,1,executionagent-runs-gpt54,succeeded_after_project_retry:1
chartjs/Chart.js,chartjs-chart-js,a153556861074e827358446ec937555ac58c3d11,1,executionagent-runs-gpt54,succeeded_after_internal_repair:1
cloudflare-python,cloudflare-python,,1,projects-repo2run,succeeded_after_internal_repair:1
co-op-translator,co-op-translator,,1,projects-repo2run,failed_in_project_run:1
cogvideox-factory,cogvideox-factory,,1,projects-repo2run,succeeded_after_internal_repair:1
colpali,colpali,,1,projects-repo2run,succeeded_after_internal_repair:1
consistency-policy,consistency-policy,,1,projects-repo2run,succeeded_after_internal_repair:1
cookiecutter-mlops-package,cookiecutter-mlops-package,,1,projects-repo2run,succeeded_after_internal_repair:1
cover-agent,cover-agent,,1,projects-repo2run,succeeded_after_internal_repair:1
crawlee-python,crawlee-python,,1,projects-repo2run,succeeded_after_internal_repair:1
crewAI-tools,crewAI-tools,,1,projects-repo2run,succeeded_after_internal_repair:1
databonsai,databonsai,,1,projects-repo2run,succeeded_after_internal_repair:1
datachain,datachain,,1,projects-repo2run,failed_in_project_run:1
dataformer,dataformer,,1,projects-repo2run,succeeded_after_internal_repair:1
db-ally,db-ally,,1,projects-repo2run,succeeded_after_internal_repair:1
dbos-transact-py,dbos-transact-py,,1,projects-repo2run,succeeded_after_internal_repair:1
dendrite-python-sdk,dendrite-python-sdk,,1,projects-repo2run,succeeded_after_internal_repair:1
denser-retriever,denser-retriever,,1,projects-repo2run,succeeded_after_internal_repair:1
digital-cousins,digital-cousins,,1,projects-repo2run,failed_in_project_run:1
distcc/distcc,distcc-distcc,a627b26f08cd08542f63829f7fd9cd0fea0523fd,1,executionagent-runs-gpt54,succeeded_after_project_retry:1
dlt-hub/dlt,dlt-hub-dlt,6451bd7,1,installamatic-runs,succeeded_after_internal_repair:1
docling,docling,,1,projects-repo2run,succeeded_after_internal_repair:1
droid_policy_learning,droid_policy_learning,,1,projects-repo2run,failed_in_project_run:1
dsRAG,dsRAG,,1,projects-repo2run,failed_in_project_run:1
dynamiq,dynamiq,,1,projects-repo2run,succeeded_after_internal_repair:1
edsl,edsl,,1,projects-repo2run,succeeded_after_internal_repair:1
facebook/folly,facebook-folly,4062ee2e845241d44c3a4afb45ba420836ee5d39,1,executionagent-runs-gpt54,succeeded_after_internal_repair:1
facebook/react,facebook-react,b061b597f77c979531a3f2c9c04ba435342b0043,1,executionagent-runs-gpt54,succeeded_after_project_retry:1
facebook/react-native,facebook-react-native,0fabe263ccfae250695a0e96fe4ae924da82b533,1,executionagent-runs-gpt4o,failed_in_project_run:1
fact-finder,fact-finder,,1,projects-repo2run,succeeded_after_internal_repair:1
fast-graphrag,fast-graphrag,,1,projects-repo2run,succeeded_after_internal_repair:1
fastagency,fastagency,,1,projects-repo2run,succeeded_after_internal_repair:1
fastapi-cli,fastapi-cli,,1,projects-repo2run,failed_in_project_run:1
fastcrud,fastcrud,,1,projects-repo2run,succeeded_after_internal_repair:1
fastfit,fastfit,,1,projects-repo2run,failed_in_project_run:1
fastmlx,fastmlx,,1,projects-repo2run,succeeded_after_internal_repair:1
felafax,felafax,,1,projects-repo2run,failed_in_project_run:1
flash-diffusion,flash-diffusion,,1,projects-repo2run,failed_in_project_run:1
fms-fsdp,fms-fsdp,,1,projects-repo2run,failed_in_project_run:1
fructose,fructose,,1,projects-repo2run,succeeded_after_internal_repair:1
gReLU,gReLU,,1,projects-repo2run,succeeded_after_internal_repair:1
gigax,gigax,,1,projects-repo2run,succeeded_after_internal_repair:1
git/git,git-git,e85ae279b0d58edc2f4c3fd5ac391b51e1223985,1,executionagent-runs-gpt4o,succeeded_after_internal_repair:1
goose,goose,,1,projects-repo2run,failed_in_project_run:1
gpustack,gpustack,,1,projects-repo2run,failed_in_project_run:1
graphiti,graphiti,,1,projects-repo2run,succeeded_after_internal_repair:1
groq-python,groq-python,,1,projects-repo2run,succeeded_after_internal_repair:1
hailo-rpi5-examples,hailo-rpi5-examples,,1,projects-repo2run,failed_in_project_run:1
hng_boilerplate_python_fastapi_web,hng_boilerplate_python_fastapi_web,,1,projects-repo2run,failed_in_project_run:1
horus,horus,,1,projects-repo2run,failed_in_project_run:1
huggingface/datasets,huggingface-datasets,ca58154,1,installamatic-runs,succeeded_after_internal_repair:1
hybridgroup/cylon,hybridgroup-cylon,0ba0301318fefd337900a121dffef500ca453a09,1,setupbench-runs-all-gpt-4.1,succeeded_after_internal_repair:1
hydra,hydra,,1,projects-repo2run,failed_in_project_run:1
ib_async,ib_async,,1,projects-repo2run,succeeded_after_internal_repair:1
infini-transformer,infini-transformer,,1,projects-repo2run,failed_in_project_run:1
instanseg,instanseg,,1,projects-repo2run,succeeded_after_internal_repair:1
instructlab,instructlab,,1,projects-repo2run,failed_in_project_run:1
ionelmc/python-tblib,ionelmc-python-tblib,9f6f864f7de6ce6640bab6d962f00b956da75361,1,setupbench-runs-all-gpt-4.1,succeeded_after_internal_repair:1
johnpapa/vscode-angular-snippets,johnpapa-vscode-angular-snippets,1551fe19c3d8a915b5978c0f143279021fa66e84,1,setupbench-runs-all-gpt-4.1,failed_in_project_run:1
kan-gpt,kan-gpt,,1,projects-repo2run,succeeded_after_internal_repair:1
langchain-ai/langchain,langchain-ai-langchain,15cc090e52283e82007ae6f9202d556c02a1e136,1,executionagent-runs-gpt54,succeeded_after_project_retry:1
langchain-postgres,langchain-postgres,,1,projects-repo2run,succeeded_after_internal_repair:1
lerobot,lerobot,,1,projects-repo2run,succeeded_after_internal_repair:1
lighteval,lighteval,,1,projects-repo2run,succeeded_after_internal_repair:1
lightplane,lightplane,,1,projects-repo2run,succeeded_after_internal_repair:1
llumnix,llumnix,,1,projects-repo2run,failed_in_project_run:1
logot,logot,,1,projects-repo2run,succeeded_after_internal_repair:1
ludic,ludic,,1,projects-repo2run,succeeded_after_internal_repair:1
mamba-tabular,mamba-tabular,,1,projects-repo2run,failed_in_project_run:1
mampfes/hacs_waste_collection_schedule,mampfes-hacs-waste-collection-schedule,dbab343cd536847596ba2f95b7720f4a0eceef49,1,setupbench-runs-all-gpt-4.1,succeeded_after_internal_repair:1
marshmallow-code/marshmallow,marshmallow-code-marshmallow,659fed5c2b5b51199716b7341ee406df01831049,1,setupbench-runs-all-gpt-4.1,succeeded_after_internal_repair:1
melt-ui/melt-ui,melt-ui-melt-ui,c566aae9e468945c614b3dea96e3a346c1bd6e33,1,setupbench-runs-all-gpt-4.1,succeeded_after_internal_repair:1
mermaid-js/mermaid,mermaid-js-mermaid,019ee818db2648a1856f2f18533fa62a7d8fbb49,1,executionagent-runs-gpt54,succeeded_after_project_retry:1
mflux,mflux,,1,projects-repo2run,failed_in_project_run:1
minbpe,minbpe,,1,projects-repo2run,failed_in_project_run:1
ml-cross-entropy,ml-cross-entropy,,1,projects-repo2run,succeeded_after_internal_repair:1
ml-mdm,ml-mdm,,1,projects-repo2run,succeeded_after_internal_repair:1
mlfz,mlfz,,1,projects-repo2run,failed_in_project_run:1
mm-toolbox,mm-toolbox,,1,projects-repo2run,succeeded_after_internal_repair:1
mutahunter,mutahunter,,1,projects-repo2run,succeeded_after_internal_repair:1
n-levels-of-rag,n-levels-of-rag,,1,projects-repo2run,failed_in_project_run:1
nano-graphrag,nano-graphrag,,1,projects-repo2run,failed_in_project_run:1
nanodo,nanodo,,1,projects-repo2run,succeeded_after_internal_repair:1
neo4j-runway,neo4j-runway,,1,projects-repo2run,succeeded_after_internal_repair:1
nerf-on-the-go,nerf-on-the-go,,1,projects-repo2run,failed_in_project_run:1
networkx/networkx,networkx-networkx,c107d25c853fbfe082c12d9e8c77afe4f34e91da,1,setupbench-runs-all-gpt-4.1,succeeded_after_internal_repair:1
neuro-ncap,neuro-ncap,,1,projects-repo2run,succeeded_after_internal_repair:1
neutrinolabs/xrdp,neutrinolabs-xrdp,261d8e575a5a81eda2e139ec3707f607100d5a6e,1,executionagent-runs-gpt54,succeeded_after_internal_repair:1
